#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1           30           30            0
            2      29.7349      29.8674     0.132552
            3      29.0304      29.5884     0.289327
            4      29.0304      29.4489     0.247625
            5      29.3575      29.4306     0.192678
            6      29.3575      29.4185     0.157792
            7      29.6149      29.4465     0.136279
            8      29.6149      29.4676     0.119883
            9      29.6149      29.4839     0.106986
           10      29.6149       29.497    0.0965834
           11      29.6149      29.5077    0.0880175
           12      29.6149      29.5167    0.0808432
           13      29.6149      29.5242    0.0747477
           14      28.4914      29.4505     0.101149
           15      28.4914      29.3865     0.113818
           16      28.7525      29.3469     0.113602
           17      28.7525      29.3119     0.112293
           18      26.6124       29.162     0.183575
           19      26.6124      29.0278      0.21945
           20      26.1541      28.8841     0.252956
           21      26.3463      28.7632     0.269252
           22      26.3463      28.6534     0.279241
           23      26.2699      28.5498     0.286241
           24       26.653      28.4707     0.285224
           25       26.653       28.398     0.283074
           26       26.653      28.3309     0.280128
           27      26.6398      28.2683     0.276735
           28      26.6398      28.2101     0.272937
           29      26.6398      28.1559     0.268867
           30      27.0021      28.1175     0.262582
           31       27.649      28.1024      0.25442
           32       27.649      28.0882     0.246748
           33      28.1664      28.0906     0.239166
           34      29.1069      28.1205     0.233943
           35      29.1069      28.1486     0.228902
           36      29.1069      28.1753      0.22404
           37      28.1184      28.1737     0.217906
           38      26.3947      28.1269       0.2172
           39      24.9919      28.0465     0.226314
           40      24.9919      27.9702     0.233428
           41      24.9919      27.8975     0.238971
           42       24.537      27.8175     0.246556
           43      22.2135      27.6872     0.273765
           44      22.2135      27.5628     0.294985
           45      21.3182       27.424     0.320008
           46      21.3182      27.2913     0.339958
           47      21.3182      27.1642     0.356096
           48      20.9234      27.0342     0.372055
           49      21.5846       26.923     0.380978
           50      21.5846      26.8162     0.388249
           51      21.5846      26.7136     0.394143
           52      21.5846       26.615     0.398877
           53      20.2191      26.4943     0.409466
           54      20.2191      26.3781     0.418278
           55      20.2191      26.2661     0.425599
           56      18.5609      26.1285     0.439997
           57      18.5609      25.9958      0.45214
           58      17.9713      25.8574      0.46532
           59      16.8391      25.7046     0.482232
           60      16.6604      25.5538     0.497511
           61      16.6604       25.408     0.510546
           62      17.4257      25.2793     0.518483
           63      16.8403      25.1453     0.527479
           64      16.8403      25.0156     0.535143
           65      14.7791      24.8581      0.54988
           66      14.3212      24.6984      0.56453
           67      13.0031      24.5239     0.582796
           68      13.0031      24.3544     0.598636
           69      13.0031      24.1899     0.612407
           70      13.0031      24.0301     0.624393
           71      13.0031      23.8748     0.634827
           72      13.0031      23.7238     0.643903
           73      13.0031       23.577     0.651782
           74      12.8602      23.4321     0.659023
           75      12.8602      23.2912     0.665281
           76      12.8602      23.1539     0.670663
           77      13.2394      23.0252     0.674303
           78       13.496       22.903     0.676721
           79      12.6568      22.7733     0.680573
           80      12.6568      22.6468     0.683807
           81      12.3552      22.5198     0.687161
           82       10.729       22.376     0.693793
           83      10.8828      22.2375     0.699231
           84      10.6245      22.0993     0.704554
           85      8.56831      21.9401     0.714183
           86      8.56831      21.7846     0.722752
           87      8.70005      21.6342     0.730056
           88      8.64801      21.4866     0.736645
           89      8.64801      21.3424     0.742469
           90      8.64801      21.2013     0.747599
           91      5.87973       21.033     0.758267
           92      5.87973      20.8682     0.767854
           93      6.05317      20.7089     0.776078
           94      5.50437      20.5472     0.784631
           95      4.17936      20.3749     0.795216
           96      4.17936      20.2062     0.804771
           97      3.99918      20.0391     0.813768
           98      3.99918      19.8754     0.821884
           99      3.99918      19.7151     0.829195
          100      3.99918      19.5579      0.83577
          101      3.99918      19.4039     0.841671
          102      4.20594      19.2549     0.846593
          103      4.20594      19.1088      0.85097
          104      4.20594      18.9655     0.854844
          105      4.20594      18.8249     0.858253
          106      1.73542      18.6637      0.86527
          107      1.87503      18.5068     0.871388
          108      1.82345      18.3523     0.876994
          109      1.41847      18.1969      0.88269
          110      1.41847      18.0444     0.887829
          111      1.41847      17.8946     0.892454
          112      1.41847      17.7475       0.8966
          113      1.41847       17.603     0.900303
          114      1.41847       17.461     0.903593
          115      1.41847      17.3215       0.9065
          116      1.41847      17.1845     0.909048
          117      1.41847      17.0497     0.911263
          118      1.41847      16.9172     0.913167
          119      1.41847       16.787      0.91478
          120      1.28954      16.6578     0.916272
          121      1.28954      16.5308     0.917501
          122      1.28954      16.4059     0.918485
          123      1.28954       16.283      0.91924
          124      1.28954      16.1621     0.919779
          125      1.28954      16.0431     0.920116
          126      1.28954       15.926     0.920264
          127      1.28954      15.8108     0.920234
          128      1.28954      15.6973     0.920038
          129      1.28954      15.5856     0.919685
