#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      28.8931      28.8931            0
            2      28.8392      28.8662    0.0269667
            3      28.8392      28.8572    0.0179778
            4      28.8392      28.8527    0.0134833
            5      28.8392        28.85    0.0107867
            6      27.4978      28.6246     0.225532
            7      27.4869      28.4621       0.2505
            8       26.749       28.248     0.304827
            9      27.1125      28.1218     0.296962
           10      28.4233      28.1519     0.267316
           11      28.4233      28.1766     0.243052
           12      28.9993      28.2452     0.232225
           13      29.3638      28.3312     0.230296
           14      29.3638       28.405     0.225609
           15      30.5857      28.5504     0.255439
           16       29.382      28.6023      0.24453
           17      30.8762      28.7361     0.265804
           18      30.9917      28.8614     0.280187
           19      30.3009      28.9372     0.275647
           20      29.5381      28.9672     0.263223
           21      28.6319      28.9513     0.250884
           22      27.7931      28.8986     0.244932
           23      27.7931      28.8506     0.238925
           24      27.7931      28.8065     0.232958
           25      27.7931       28.766     0.227092
           26      27.7931      28.7285     0.221368
           27       28.976      28.7377     0.213208
           28       29.858      28.7777     0.209312
           29      29.0794      28.7881     0.202233
           30      29.3469      28.8067     0.196261
           31      29.3469      28.8242     0.190623
           32      28.5455      28.8155     0.184775
           33      28.5455      28.8073     0.179275
           34      28.5455      28.7996     0.174093
           35      28.4827      28.7905     0.169288
           36      27.3993      28.7519     0.168996
           37       28.222      28.7376     0.164988
           38      26.7693      28.6858     0.168735
           39      25.8188      28.6122     0.180042
           40      25.8188      28.5424     0.188869
           41      26.2124      28.4856     0.192772
           42      26.1558      28.4301     0.196134
           43      27.1498      28.4003     0.193819
           44      27.8674      28.3882      0.18975
           45      26.2974      28.3418     0.191216
           46      26.2974      28.2973     0.192221
           47      26.2343      28.2534      0.19314
           48       27.598      28.2398     0.189566
           49      27.4198       28.223      0.18641
           50      27.7147      28.2129     0.182926
           51      27.9507      28.2077     0.179378
           52      26.9559      28.1837     0.177534
           53      26.0264      28.1429     0.178846
           54      26.0863      28.1049     0.179587
           55      25.1819      28.0517     0.184128
           56      24.3064      27.9848     0.192783
           57      22.7555      27.8931     0.210423
           58      21.5143      27.7831     0.234194
           59      20.5054      27.6598     0.261157
           60      20.5054      27.5405     0.283104
           61      20.8779      27.4313     0.299081
           62      20.8779      27.3256     0.312628
           63      20.8779      27.2233     0.324204
           64      20.6353      27.1203      0.33529
           65      20.5185      27.0188     0.345364
           66      21.1118      26.9293      0.35167
           67      19.9909      26.8257     0.361531
           68      19.7226      26.7212     0.371176
           69      19.1014      26.6108     0.382065
           70      18.2776      26.4918     0.394936
           71      18.9986      26.3862     0.403385
           72      19.0473      26.2843     0.410596
           73      19.4974      26.1913     0.415468
           74      19.4974      26.1009      0.41968
           75      18.4764      25.9992     0.426344
           76      18.5128      25.9007     0.432075
           77      18.5128      25.8048     0.437088
           78      17.9503      25.7041     0.443043
           79      17.9503      25.6059     0.448276
           80      17.9503      25.5102     0.452863
           81      18.5467      25.4242     0.455425
           82      18.5467      25.3404     0.457589
           83       17.581      25.2469     0.461608
           84      18.6611      25.1685     0.462769
           85      18.9449      25.0953     0.463117
           86      17.8244      25.0107     0.465443
           87      17.4173      24.9234     0.468268
           88      16.8901      24.8321     0.471832
           89      15.9942      24.7328     0.476952
           90      16.5374      24.6418     0.480333
           91      16.4563      24.5518     0.483467
           92      16.3322      24.4625     0.486458
           93      16.2888      24.3746     0.489159
           94      17.4495      24.3009     0.489503
           95      17.4495      24.2288     0.489663
           96      17.0359      24.1539     0.490295
           97       15.864      24.0684     0.492683
           98      16.4819       23.991     0.493736
           99      15.4412      23.9046     0.496295
          100      15.5915      23.8215     0.498291
          101      15.5817      23.7399     0.500033
