#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      30.4319      30.4319            0
            2       30.231      30.3315     0.100494
            3      29.5873      30.0834     0.254749
            4      30.2291      30.1198     0.183782
            5      30.8868      30.2732     0.209272
            6      30.8868      30.3755     0.199133
            7      31.0551      30.4726     0.194297
            8      31.0551      30.5454     0.183348
            9      31.0551       30.602      0.17133
           10      32.0212       30.744     0.208862
           11      32.0212      30.8601     0.221753
           12      32.0212      30.9568     0.224369
           13      32.0212      31.0387     0.222036
           14      31.1833       31.049     0.205825
           15      31.1833       31.058     0.191822
           16      31.4594      31.0831     0.181178
           17      31.4594      31.1052     0.171621
           18      29.1421      30.9962     0.195131
           19      29.1421      30.8986     0.208784
           20      28.3715      30.7722     0.234941
           21      28.9679      30.6863     0.239421
           22      28.9679      30.6082     0.241272
           23      28.6506      30.5231     0.245752
           24      29.4873      30.4799     0.239215
           25      30.1321       30.466     0.229868
           26      30.1321      30.4532     0.221223
           27      29.5164      30.4185     0.215681
           28      29.5164      30.3863     0.210318
           29      29.5164      30.3563     0.205141
           30      29.8583      30.3397     0.198879
           31       31.065      30.3631     0.193774
           32      32.4447      30.4281     0.198578
           33      33.0395      30.5072       0.2081
           34      33.9527      30.6086     0.225893
           35      33.9527      30.7041     0.239251
           36      33.9527      30.7944     0.249408
           37      33.3504      30.8635     0.252218
           38      31.6723      30.8847     0.246412
           39      30.6001      30.8774     0.240122
           40      31.5856      30.8951      0.23471
           41      33.8642      30.9676     0.240096
           42      33.7003      31.0326     0.243175
           43      31.7704      31.0498     0.238072
           44      31.7704      31.0662     0.233174
           45      31.2138      31.0694     0.227957
           46      31.2138      31.0726     0.222969
           47      32.2019      31.0966     0.219492
           48      31.3596      31.1021     0.214941
           49      32.2857      31.1262      0.21189
           50      32.2857      31.1494       0.2089
           51      32.4762      31.1754     0.206409
           52      32.4762      31.2005      0.20394
           53      31.0507      31.1976     0.200075
           54      31.0507      31.1949     0.196354
           55      32.9507      31.2268     0.195377
           56      31.6657      31.2347     0.192016
           57      31.6657      31.2422     0.188769
           58      31.1401      31.2405     0.185494
           59      29.9511      31.2186     0.183628
           60      29.5203      31.1903     0.182747
           61      29.5203      31.1629     0.181799
           62      30.5672      31.1533     0.179101
           63      30.0363      31.1356     0.177125
           64      29.8069      31.1148     0.175567
           65      27.7027      31.0623     0.180641
           66      26.9374      30.9998     0.188543
           67      25.7255      30.9211     0.201703
           68      25.7255      30.8447     0.212898
           69      27.5973      30.7977     0.215004
           70      27.5973      30.7519     0.216786
           71      27.5973      30.7075     0.218281
           72      27.8058      30.6672     0.218969
           73      27.8058       30.628     0.219477
           74      27.6516      30.5878     0.220195
           75      27.6516      30.5486     0.220739
           76      27.6516      30.5105     0.221125
           77       27.425      30.4704     0.221883
           78      27.3753      30.4308     0.222585
           79      25.9137      30.3736     0.227067
           80      25.9137      30.3178     0.231037
           81      24.7899      30.2496     0.238155
           82      23.3202      30.1651     0.249951
           83      21.1125       30.056     0.269936
           84      20.6719      29.9443     0.289156
           85      19.7818      29.8247     0.309739
           86      19.7818       29.708     0.327634
           87      20.0479      29.5969     0.342352
           88      17.6269      29.4609     0.364752
           89      17.6269      29.3279     0.384362
           90       17.191      29.1931     0.403283
           91      15.0108      29.0372     0.428196
           92      15.5265      28.8904     0.448254
           93      13.1622      28.7213     0.474566
           94      13.0325      28.5544     0.498274
           95      13.0325       28.391     0.519371
           96      13.0325       28.231     0.538257
           97      14.4159      28.0886     0.551391
           98      14.4159      27.9491     0.563287
           99      14.4159      27.8124      0.57408
          100      14.4159      27.6784     0.583886
          101      14.4159      27.5471     0.592803
          102      13.3162      27.4076     0.603316
          103      12.4353      27.2622      0.61486
          104      12.4353      27.1196     0.625386
          105      11.0502      26.9666     0.638028
          106      9.00692      26.7972     0.654298
          107      9.00692      26.6309     0.669139
          108        9.964      26.4766      0.68064
          109      8.32267        26.31     0.694629
          110      9.70663      26.1591     0.704642
          111      10.9109      26.0217     0.711649
          112      10.6246      25.8842      0.71854
          113      11.2771       25.755      0.72379
          114      11.2771       25.628     0.728567
          115      10.4604      25.4961     0.734148
          116      10.4604      25.3665     0.739244
          117      10.4246      25.2388     0.743942
          118      11.4553      25.1219     0.746802
          119      11.4553      25.0071     0.749353
          120      10.5646      24.8867     0.752766
          121      9.62431      24.7606       0.7571
          122      10.5741      24.6443     0.759819
          123      10.4476      24.5289     0.762404
          124      11.4422      24.4234     0.763559
          125      11.4422      24.3195     0.764512
          126      9.96846      24.2056     0.766925
          127      10.8312      24.1003     0.768116
          128      8.00983      23.9746     0.772389
          129      8.00983      23.8508     0.776306
          130      6.88174      23.7203     0.781293
          131      7.44628      23.5961     0.785196
          132      7.44628      23.4737     0.788771
          133      7.44628      23.3532     0.792039
          134      7.44628      23.2345     0.795018
          135      7.44628      23.1176     0.797727
          136      5.70586      22.9895     0.802122
          137      5.70586      22.8634     0.806178
          138      5.70586      22.7391     0.809915
          139      5.70586      22.6165     0.813351
          140      8.97842      22.5191     0.813375
          141      8.97842      22.4231     0.813276
          142      6.43169      22.3105     0.815343
          143      6.43169      22.1994       0.8172
          144      6.43169      22.0899      0.81886
          145      5.44104      21.9751     0.821259
          146      5.44104      21.8618     0.823439
          147      5.44104      21.7501     0.825412
          148      4.55013      21.6339     0.828012
          149      2.30001      21.5042     0.832609
          150      2.30001      21.3761     0.836891
          151      2.30001      21.2498     0.840874
          152      5.14791      21.1439     0.842014
          153      5.63759      21.0425      0.84261
          154      5.63759      20.9425     0.843076
          155      4.87186      20.8388     0.844012
          156      6.82277       20.749     0.843383
          157      6.76447      20.6599     0.842715
          158      7.69032      20.5778     0.841378
          159      5.10698      20.4805     0.841712
          160      5.10698      20.3844     0.841936
          161      4.36483      20.2849     0.842586
          162      5.19737      20.1918     0.842532
          163      5.19737      20.0998     0.842385
          164      4.71111       20.006     0.842474
          165      1.42514      19.8934     0.844891
          166      3.46315      19.7944     0.845599
          167      5.97642      19.7116     0.844583
          168       5.0604      19.6244     0.844058
          169      6.27516      19.5454     0.842758
          170      6.27516      19.4674     0.841415
          171      3.77785      19.3756     0.841497
          172      3.77785      19.2849     0.841491
          173      1.78072      19.1838     0.842709
          174      1.88206      19.0843     0.843732
          175      1.88206       18.986     0.844636
          176      1.88206      18.8888     0.845427
          177      3.13265      18.7998     0.845337
          178      3.13265      18.7118      0.84517
          179      4.87396      18.6345     0.843983
          180      6.78508      18.5687     0.841859
          181       4.1604      18.4891     0.840971
          182       4.1604      18.4103     0.840035
          183      3.46067      18.3286     0.839417
          184      2.86918      18.2446      0.83906
          185      1.78979      18.1557     0.839238
          186      1.78979      18.0677     0.839339
          187      1.78979      17.9806     0.839364
          188      1.78979      17.8945     0.839318
          189      1.78979      17.8093     0.839202
          190      1.78979       17.725     0.839021
          191      3.18434      17.6489     0.838081
          192      3.18434      17.5735     0.837102
          193      3.18434       17.499     0.836084
          194      3.92094       17.429     0.834703
          195      1.53926      17.3475     0.834399
          196      1.27508      17.2655     0.834172
          197      1.27508      17.1843     0.833886
          198      1.27508       17.104     0.833546
          199       3.1536      17.0339     0.832304
          200      2.25972        16.96      0.83142
          201      2.25972      16.8869       0.8305
          202      1.67311      16.8116     0.829803
          203      2.37872      16.7405     0.828761
          204      2.37872      16.6701     0.827688
          205      4.04193      16.6085     0.825941
          206       5.5287      16.5547      0.82368
          207      6.50595      16.5061     0.821127
          208      5.25712       16.452     0.818957
          209      5.25712      16.3985     0.816788
          210      3.67347      16.3379     0.815144
          211      3.67347      16.2779     0.813489
          212      4.86935      16.2241     0.811429
          213       3.5466      16.1645     0.809801
          214      5.11684      16.1129      0.80766
          215      5.41884      16.0632     0.805432
          216      5.41884      16.0139     0.803207
          217      2.55909      15.9519     0.801898
          218      3.50735      15.8948      0.80025
          219      2.36568       15.833     0.798979
          220      3.97016      15.7791     0.797165
          221      3.81782       15.725     0.795393
          222      3.81782      15.6713     0.793617
          223      3.81782      15.6182     0.791836
          224      4.91095      15.5704     0.789741
          225      3.21688      15.5155     0.788138
          226      2.75277       15.459     0.786672
          227      2.75277       15.403     0.785197
          228      2.75277      15.3476     0.783712
          229      2.75277      15.2926     0.782218
          230      5.01045      15.2478     0.780092
          231      5.01045      15.2035     0.777971
          232      3.59564      15.1535     0.776224
          233      4.02488      15.1057      0.77436
          234      4.02488      15.0584     0.772496
          235      4.02488      15.0114     0.770634
          236      4.02488      14.9649     0.768772
          237      4.15515      14.9193     0.766879
          238      4.43911      14.8752     0.764919
          239      4.43911      14.8316     0.762962
          240      4.43911      14.7883     0.761009
          241      5.90174      14.7514     0.758742
          242      6.31832      14.7165     0.756403
          243      5.26728      14.6777     0.754287
          244      6.53571      14.6443      0.75193
          245      5.68382      14.6077     0.749747
          246      4.63527      14.5672     0.747793
          247      4.68626      14.5272     0.745833
          248      4.68626      14.4875     0.743878
